YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,METANN
1949,2.6,3.7,1.5,7.4,11.5,14.9,18.0,15.6,16.1,11.0,6.2,3.8,3.6,6.8,16.2,11.1,9.43
1950,0.0,1.6,4.5,7.3,13.2,14.9,16.6,17.5,12.7,8.8,4.1,0.2,1.8,8.3,16.3,8.5,8.75
1951,0.7,0.4,0.4,5.9,10.5,15.7,16.5,16.2,14.0,9.1,6.9,4.4,0.4,5.6,16.1,10.0,8.04
1952,0.5,1.2,0.4,7.6,11.0,12.6,16.0,15.6,10.4,7.2,2.4,1.2,2.0,6.3,14.7,6.7,7.44
1953,1.2,-0.2,4.2,6.8,11.6,17.0,16.4,15.7,13.0,11.2,999.9,4.2,0.7,7.5,16.4,10.1,8.68
1954,-0.3,-2.8,1.5,5.5,12.8,14.8,15.1,15.2,12.6,9.0,5.2,3.6,0.4,6.6,15.0,8.9,7.73
1955,-0.7,-3.3,-0.4,4.9,9.1,13.6,19.0,18.2,14.1,8.6,5.8,1.1,-0.1,4.5,16.9,9.5,7.71
1956,0.4,-5.8,1.5,4.6,11.3,13.6,16.7,13.9,13.0,8.2,3.6,4.0,-1.4,5.8,14.7,8.3,6.84
1957,2.4,2.4,3.1,6.4,10.1,14.6,16.7,15.9,11.1,9.7,5.1,2.3,2.9,6.5,15.7,8.6,8.46
1958,-0.7,-1.6,-1.6,5.9,9.9,14.6,16.9,15.4,14.0,10.3,6.5,2.3,0.0,4.7,15.6,10.3,7.66
1959,0.2,1.6,4.4,7.7,11.9,15.2,18.4,17.8,13.2,9.4,5.6,3.1,1.4,8.0,17.1,9.4,8.98
1960,-0.2,-1.1,2.3,6.2,12.6,16.0,15.6,16.0,12.9,8.2,5.4,3.1,0.6,7.0,15.9,8.8,8.08
1961,0.3,3.6,999.9,8.0,11.4,15.5,15.4,14.9,14.3,11.7,4.7,0.0,2.3,7.6,15.3,10.2,8.85
1962,2.1,1.8,-0.1,6.6,9.3,13.5,14.8,13.9,11.9,9.9,4.1,0.5,1.3,5.3,14.1,8.6,7.32
1963,-4.8,-4.5,0.3,5.6,11.3,15.5,15.9,15.6,12.9,9.6,7.2,-0.1,-2.9,5.7,15.7,9.9,7.09
1964,1.3,0.7,0.3,7.7,11.9,13.9,14.8,15.1,12.3,8.3,5.5,1.8,0.6,6.6,14.6,8.7,7.64
1965,1.4,-0.2,1.3,6.4,9.5,14.6,14.4,14.7,13.8,9.4,1.6,0.0,1.0,5.7,14.6,8.3,7.39
1966,-2.7,-2.7,3.2,3.7,11.7,16.0,16.0,15.0,12.6,9.4,4.0,1.7,-1.8,6.2,15.7,8.7,7.18
1967,-0.1,2.4,5.4,5.9,10.9,14.2,17.8,16.3,13.8,10.5,6.4,1.3,1.3,7.4,16.1,10.2,8.77
1968,-0.8,-0.1,4.3,7.3,9.9,16.3,15.7,17.0,13.9,9.2,4.4,0.4,0.1,7.2,16.3,9.2,8.20
1969,0.9,-2.9,-0.4,6.0,9.8,15.8,17.0,17.8,14.4,10.7,4.1,-1.1,-0.5,5.1,16.9,9.7,7.80
1970,-2.4,-4.3,0.6,3.5,11.3,17.7,15.4,16.5,12.1,9.3,4.9,2.7,-2.6,5.1,16.5,8.8,6.96
1971,1.3,2.9,1.2,5.9,11.8,14.0,16.6,16.1,12.7,9.4,4.7,5.2,2.3,6.3,15.6,8.9,8.28
1972,-0.7,0.5,3.0,6.7,11.5,14.4,17.9,15.8,11.1,8.2,5.7,4.3,1.7,7.1,16.0,8.3,8.28
1973,2.0,3.1,5.7,5.7,11.0,15.3,18.2,16.0,13.0,6.8,3.3,1.6,3.1,7.5,16.5,7.7,8.70
1974,3.4,3.6,3.5,8.0,11.0,15.0,14.7,15.7,13.3,6.9,5.3,4.6,2.9,7.5,15.1,8.5,8.50
1975,5.0,1.7,2.9,5.6,11.6,14.6,17.2,19.5,14.0,9.3,4.9,4.5,3.8,6.7,17.1,9.4,9.24
1976,0.5,0.7,0.2,5.9,11.3,14.9,18.3,17.5,12.0,9.2,5.2,-0.3,1.9,5.8,16.9,8.8,8.35
1977,-0.7,-1.1,3.7,4.6,11.1,15.1,15.3,15.6,12.0,10.5,5.7,3.1,-0.7,6.5,15.3,9.4,7.63
1978,2.1,-1.9,2.3,5.4,12.0,15.7,15.5,15.9,11.8,10.0,7.8,-0.6,1.1,6.6,15.7,9.9,8.31
1979,-3.5,-3.6,1.5,5.5,10.5,14.7,14.8,15.3,13.2,8.5,4.9,2.0,-2.6,5.8,14.9,8.9,6.77
1980,-1.5,-1.6,0.8,6.7,11.7,15.7,17.0,16.0,14.0,8.1,3.8,3.0,-0.4,6.4,16.2,8.6,7.73
1981,-0.2,0.9,3.1,6.5,13.4,14.6,16.6,16.3,14.2,8.1,5.3,-4.2,1.2,7.7,15.8,9.2,8.48
